AMVC-publicaties	
Analecta Musicologica	
Ancorae	
Ancorae : steunpunten voor studie en onderwijs	Ancorae
Anders leben	
Andrea & Giovanni Gabrieli , Complete Instrumental Music	
Anglistica & Americana : a series of reprints	
Anhang = Appendix = Appendice 1	Appendix 1
Anhang = Appendix = Appendice 2	Appendix 2
A Nineteenth Century Collection : for Oboe and Piano	
A Nineteenth Century Collection : for Oboe and Piano : 2	A Nineteenth Century Collection : for Oboe and Piano ; 2
A Nineteenth Century Collection : for Oboe and Piano : 3	A Nineteenth Century Collection : for Oboe and Piano ; 3
Annapolis brass quintet series	
Annapolis Brass Quintet Series	Annapolis brass quintet series
Annotated Reference Tools in Music	
Annuaire de l' Académie Royale des Sciences, des Lettres et des Beaux-Arts de Belgique	
Annuaire de la Société d' Archéologie de Bruxelles	
Annuaire du Conservatoire Royal de Musique de Bruxelles	
Anthologie aus Opern und Oratorien von Georg Friedrich Händel	
Anthologie classique tirée des Oeuvres de Bach, Scarlatti, Händel, Mozart etc. pour le Piano seul	
Anthologie de musique sacrée : selon l' esprit du " Motu Proprio " de S. S. Pie X	
Anthologie Ostdeutsche Musik	
Anthology of Flemish Band Music	
Anthology of music	Anthology of Music
Anthology of Music	
Anthology of Soviet Choral Music	
Anthropological Papers	
Antiqua : Einer Sammlung Alter Musik	Antiqua : Eine Sammlung alter Musik
Antiqua : eine Sammlung alter Musik	Antiqua : Eine Sammlung alter Musik
Antiqua : Eine Sammlung alter Musik	
Antiquae Musicae Italicae [Bibliotheca]. Subsidia Historica. La Musica a Bologna. B. Età Barocca e Moderna	
Antiqui musicae magistri qui adversam fortunam tulerunt	
Antiqui Musicae Magistri qui adversam fortunam tulerunt	Antiqui musicae magistri qui adversam fortunam tulerunt
Anton Bruckner Gesamtausgabe	
Antonio Vivaldi : opere incomplete : edizione critica	
Arbeiten aus dem Mainzer Institut für Ethnologie und Afrika-Studien	
Arcadian Edition	
Arca Lovaniensis artes atque historiae reserans documenta	
Arc-en-ciel	
Archief- en Bibliotheekwezen in België, jrg. 38 nr. 3-4 ( 1967 )	Archief- en Bibliotheekwezen in België ; 38/3-4
Archiv der auserlesensten Musikalien	
Archives et bibliothèques de Belgique = Archief- en bibliotheekwezen in België	
Archives et Bibliothèques de Belgique = Archief- en bibliotheekwezen in België	Archives et bibliothèques de Belgique = Archief- en bibliotheekwezen in België
Archives et collections thérésiennes	
Archives musicales	
Archive Torinesi	
Archivium musicum	
Archivum musicum : L' Art de la flûte traversière	
Archivum Musicum : L' Art de la flûte traversière	Archivum musicum : L' Art de la flûte traversière
Archivum musicum : L' Arte della chitarra tra Settecento e Ottocento	
Archivum Musicum : L' Arte della chitarra tra Settecento e Ottocento	Archivum musicum : L' Arte della chitarra tra Settecento e Ottocento
Arco Vocal Series	
Arias and Barcarolles	
Arien für Sopran, Alt, Tenor, Bass aus den Opern und Oratorien berühmter und beliebter Componisten	
Arien und Gesänge älterer Tonmeister	
Ariettes : pour petits et grands enfants	
Aristide Cavaillé-Coll	
Armarium, publicaties voor erfgoedbibliotheken	Armarium : publicaties voor erfgoedbibliotheken
Arranging Jazz	
Ars Instrumentalis	
Ars Musices Iuxta Consignationes Variorum Scriptorum. Renaissance et Période Préclassique. Domaine Espagnol	
Ars Nova	
Ars Rediviva	
Ars Viva	
[Ars Viva : Musik des 20.ten Jahrhunderts	Ars Viva : Musik des 20.ten Jahrhunderts
[Ars Viva] : [Musik des 20.ten Jahrhunderts]	Ars Viva : Musik des 20.ten Jahrhunderts
